Regn_Cd,Regn_Nm,Dstrc_C,Dstrc_N,Ward_Cd,Ward_Nm,WardCod,ttl_bth,totl_ml,totl_fm,Ar_kmsq,wwid,ID_ward,Yr_bttn,Mnth_bt,id_year,id_yr_m,Date,bit_cnt,dth_cnt,nwctgry,prtctd_,lnd_cvr,pvrty_n,elevatn,pop_den,dogpop,vdogs
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2012,12,7,84,2012-12-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1297,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2013,1,8,85,2013-01-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1299,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2013,2,8,86,2013-02-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1352,407
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2013,3,8,87,2013-03-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1303,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2013,4,8,88,2013-04-01,1,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1305,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2013,5,8,89,2013-05-01,1,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1307,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2013,6,8,90,2013-06-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1310,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2013,7,8,91,2013-07-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1311,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2013,8,8,92,2013-08-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1313,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2013,9,8,93,2013-09-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1316,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2013,10,8,94,2013-10-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1318,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2013,11,8,95,2013-11-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1321,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2013,12,8,96,2013-12-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1323,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2014,1,9,97,2014-01-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1324,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2014,2,9,98,2014-02-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1327,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2014,3,9,99,2014-03-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1329,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2014,4,9,100,2014-04-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1331,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2014,5,9,101,2014-05-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1334,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2014,6,9,102,2014-06-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1336,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2014,7,9,103,2014-07-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1337,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2014,8,9,104,2014-08-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1340,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2014,9,9,105,2014-09-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1341,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2014,10,9,106,2014-10-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1345,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2014,11,9,107,2014-11-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1347,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2014,12,9,108,2014-12-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1348,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2015,1,10,109,2015-01-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1456,804
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2015,2,10,110,2015-02-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1353,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2015,3,10,111,2015-03-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1355,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2015,4,10,112,2015-04-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1358,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2015,5,10,113,2015-05-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1360,0
05,Morogoro,03,Kilombero,013,Kidatu,0503013,32589,16359,16230,473.7960975699103,kilombero_kidatu,1,2015,6,10,114,2015-06-01,0,0,Rural,1,2,0.487262107955914,703.7131424882432,297.71563722672624,1362,0
